אבו קרינאת,אבו קורינאת (יישוב)
אוזבידאת,בסמת טבעון
אלון תבור,אילון תבור*
אם אל-גנם,שבלי - אום אל-גנם
באר צופר,צופר
בועינה,בועיינה-נוג'ידאת
ברטעה,"בסמ""ה"
גבעת ושינגטון,בית רבן
גבעת עדה,בנימינה-גבעת עדה*
גדיידה,ג'דיידה-מכר
גוש חלב,ג'ש (גוש חלב)
גני יהודה,סביון*
גת הגלילית,יאנוח-ג'ת
דביר,דבירה
זנגריה,טובא-זנגרייה
חלמיש,נווה צוף
חמירה,סואעד (חמרייה)*
חרות,חירות
טובא,טובא-זנגרייה
טל מנשה,חיננית
טמרה א,טמרה
יאנוח,יאנוח-ג'ת
יהוד,יהוד-מונוסון
יחד,הררית
יסעור א,יסעור
כוכב יאירצור יגאל,כוכב יאיר
כמאנה סואעד שבט,סואעד (כמאנה) (שבט)
כסרא,כסרא-סמיע
כעביה- טבאש,כעביה-טבאש-חג'אג'רה
כפר ימא,זמר
כפר רוזנואלד,כפר רוזנואלד (זרעית)
כרכור,פרדס חנה-כרכור
לשם,עלי זהב
מבצע,תעשיון מבצע*
מודיעין עלית,מודיעין עילית
מולדה,סעוה
מיצד,אספר
מישור רותם,מפעלי מישור רותם
מכבים,מודיעין-מכבים-רעות*
מכר,ג'דיידה-מכר
מנשיה זבדה,מנשית זבדה
מעאוויה,"בסמ""ה"
מעלה שומרון,קרני שומרון
מעלות,מעלות-תרשיחא
משגב,מרכז אזורי משגב
נוגידאת,בועיינה-נוג'ידאת
נווה מונוסון יהוד,יהוד-מונוסון
נחל אבנת,אבנת
נטע ב,נטע
ניצנה,ניצנה (קהילת חינוך)
נירן,נערן
נעמי,"נעמ""ה"
נצרת עילית,נוף הגליל
סאלם,מעלה עירון
סמיע,כסרא-סמיע
ספסופה,כפר חושן
עוספיה,עספיא
עופרה,עפרה
עמק חפר,פארק תעשיות עמק חפר
ערה,ערערה
פרדיס,פוריידיס
פריגן,פרי גן
צומת הכח נבי יושע,"מרכז כ""ח"
צורן-קדימה,קדימה-צורן
צריפין,תעשיון צריפין
קדש ברנע,ניצני סיני
קיבוץ גת,גת (קיבוץ)
קיבוץ דורות,דורות
קיבוץ חצור,חצור-אשדוד
קיבוץ עינת,עינת
קלע אלון,קלע
קרית חיים,חיפה
קרית שדה התעופה,קרית תעופה
קרית שמואל,חיפה
רג-כפר-אזר,רמת גן
רג-רמת אפעל,רמת גן
רמת השרון ק שאול,רמת השרון
רמת פנקס,אור יהודה
רעות,מודיעין-מכבים-רעות*
שבות רחל,שילה
שגב,עצמון שגב
שיבלי,שבלי - אום אל-גנם
תלמי מנשה,באר יעקב
תרשיחא,מעלות-תרשיחא
ריה - נווה עובד,פורייה - נווה עובד
ריה - כפר עבודה,פורייה - כפר עבודה
כב יאירצור יגאל,כוכב יאיר
וה מונוסון יהוד,יהוד-מונוסון
דיעין מכבים רעו,מודיעין-מכבים-רעות*
יעין מכבים רעות,מודיעין-מכבים-רעות*
מת הכח נבי יושע,"מרכז כ""ח"
מבואות גלבוע,מבואות הגלבוע
זלפה,מעלה עירון
