סמל_ישוב,שם_ישוב,סמל_נפה,שם_נפה,סמל_מועצה_איזורית,שם_מועצה
0,לא רשום ,0,לא ידוע ,0,
1331,כמאנה ,24,עכו ,56,משגב
3826,שער שומרון ,73,טול כרם ,0,
1347,קצר א-סר ,62,באר שבע ,68,נווה מדבר
3400,חברון ,77,חברון ,0,
3777,סנסנה ,77,חברון ,78,הר חברון
963,אעצם (שבט) ,62,באר שבע ,0,
1220,אבירים ,24,עכו ,52,מעלה יוסף
958,אבו עבדון (שבט) ,62,באר שבע ,0,
1042,אבו עמאר (שבט) ,62,באר שבע ,0,
932,אבו עמרה (שבט) ,62,באר שבע ,0,
472,אבו גוש ,11,ירושלים ,0,
967,אבו ג'ווייעד (שבט) ,62,באר שבע ,0,
968,אבו קורינאת (שבט) ,62,באר שבע ,0,
1342,אבו קרינאת (יישוב) ,62,באר שבע ,68,נווה מדבר
966,אבו רובייעה (שבט) ,62,באר שבע ,0,
961,אבו רוקייק (שבט) ,62,באר שבע ,0,
473,אבו סנאן ,24,עכו ,0,
935,אבו סריחאן (שבט) ,62,באר שבע ,0,
1375,אבו תלול ,62,באר שבע ,68,נווה מדבר
1068,אדמית ,24,עכו ,4,מטה אשר
2035,עדנים ,42,פתח תקווה ,20,דרום השרון
1123,אדרת ,11,ירושלים ,26,מטה יהודה
113,אדירים ,23,עפולה ,8,הגלבוע
1199,עדי ,24,עכו ,9,עמק יזרעאל
3759,אדורה ,77,חברון ,78,הר חברון
959,אפיניש (שבט) ,62,באר שבע ,0,
313,אפק ,24,עכו ,4,מטה אשר
4301,אפיק ,29,גולן ,71,גולן
176,אפיקים ,22,כנרת ,6,עמק הירדן
7700,עפולה ,23,עפולה ,0,
794,עגור ,11,ירושלים ,26,מטה יהודה
1157,אחווה ,61,אשקלון ,33,באר טוביה
797,אחיעזר ,43,רמלה ,40,שדות דן
785,אחיהוד ,24,עכו ,4,מטה אשר
804,אחיסמך ,43,רמלה ,25,חבל מודיעין
850,אחיטוב ,41,השרון ,16,עמק חפר
821,אחוזם ,61,אשקלון ,50,לכיש
1330,אחוזת ברק ,23,עפולה ,9,עמק יזרעאל
7600,עכו ,24,עכו ,0,
1359,אל סייד ,62,באר שבע ,69,אל קסום
1316,אל-עריאן ,32,חדרה ,14,מנשה
1339,אל-עזי ,61,אשקלון ,35,יואב
3727,עלי זהב ,73,טול כרם ,72,שומרון
3750,אלפי מנשה ,73,טול כרם ,0,
1182,אלון הגליל ,23,עפולה ,9,עמק יזרעאל
3604,אלון שבות ,76,בית לחם ,76,גוש עציון
429,אלוני אבא ,23,עפולה ,9,עמק יזרעאל
4017,אלוני הבשן ,29,גולן ,71,גולן
868,אלוני יצחק ,32,חדרה ,14,מנשה
285,אלונים ,23,עפולה ,9,עמק יזרעאל
688,עלמה ,21,צפת ,2,מרום הגליל
1125,אלמגור ,22,כנרת ,6,עמק הירדן
